datetime,subtraction,additive_terms,actual_value
2019-01-10 00:00:00,22.725116205554514,9.97488379444549,32.7
2019-01-10 01:00:00,23.480135440686297,11.019864559313703,34.5
2019-01-10 02:00:00,20.88731182106012,11.61268817893988,32.5
2019-01-10 03:00:00,20.820962820046255,12.179037179953747,33.0
2019-01-10 04:00:00,25.820065164201658,12.779934835798342,38.6
2019-01-10 05:00:00,23.8332265098853,12.866773490114705,36.7
2019-01-10 06:00:00,21.64467120900903,11.655328790990968,33.3
2019-01-10 07:00:00,20.544924808018944,8.855075191981054,29.4
2019-01-10 08:00:00,17.99703186917274,5.102968130827262,23.1
2019-01-10 09:00:00,18.837970242085344,1.6620297579146572,20.5
2019-01-10 10:00:00,17.012919336873704,-0.41291933687370375,16.6
2019-01-10 11:00:00,16.457657320918482,-0.9576573209184838,15.5
2019-01-10 12:00:00,14.274102048742487,-0.6741020487424864,13.6
2019-01-10 13:00:00,13.765603211315192,-0.46560321131519056,13.3
2019-01-10 14:00:00,13.934698137980993,-0.734698137980994,13.2
2019-01-10 15:00:00,14.815173442763319,-1.2151734427633198,13.6
2019-01-10 16:00:00,14.277921004585933,-1.3779210045859318,12.9
2019-01-10 17:00:00,14.244265958938099,-0.944265958938099,13.3
2019-01-10 18:00:00,14.726922204305401,-0.026922204305402,14.7
2019-01-10 19:00:00,15.65854174661754,1.1414582533824593,16.8
2019-01-10 20:00:00,19.786094891549162,2.5139051084508406,22.3
2019-01-10 21:00:00,18.88925005483037,4.210749945169631,23.1
2019-01-10 22:00:00,17.778194923438573,6.221805076561426,24.0
2019-01-10 23:00:00,23.591354534355204,8.208645465644794,31.8
2019-01-11 00:00:00,24.812444842330066,9.687555157669934,34.5
2019-01-11 01:00:00,28.85702922504482,10.442970774955178,39.3
2019-01-11 02:00:00,27.975670449950563,10.72432955004944,38.7
2019-01-11 03:00:00,31.24245511993533,10.957544880064672,42.2
2019-01-11 04:00:00,32.79587784789759,11.204122152102405,44.0
2019-01-11 05:00:00,32.18380143477238,10.916198565227626,43.1
2019-01-11 06:00:00,30.989434129622623,9.310565870377376,40.3
2019-01-11 07:00:00,30.202008817700587,6.0979911822994115,36.3
2019-01-11 08:00:00,24.68299888998206,1.917001110017941,26.6
