,series_value,datetime,Year,Month,Day_of_Month,Hour,minutes,series_name
0,0.0,2019-06-05 14:00:00,2019,6,5,14,0,Solar3
4,0.0,2019-06-05 15:00:00,2019,6,5,15,0,Solar3
8,0.0,2019-06-05 16:00:00,2019,6,5,16,0,Solar3
12,0.0,2019-06-05 17:00:00,2019,6,5,17,0,Solar3
16,0.0,2019-06-05 18:00:00,2019,6,5,18,0,Solar3
20,0.0,2019-06-05 19:00:00,2019,6,5,19,0,Solar3
24,0.0,2019-06-05 20:00:00,2019,6,5,20,0,Solar3
28,0.0,2019-06-05 21:00:00,2019,6,5,21,0,Solar3
32,0.0,2019-06-05 22:00:00,2019,6,5,22,0,Solar3
36,0.0,2019-06-05 23:00:00,2019,6,5,23,0,Solar3
40,0.0,2019-06-06 00:00:00,2019,6,6,0,0,Solar3
44,0.9,2019-06-06 01:00:00,2019,6,6,1,0,Solar3
48,0.0,2019-06-06 02:00:00,2019,6,6,2,0,Solar3
52,0.0,2019-06-06 03:00:00,2019,6,6,3,0,Solar3
56,0.0,2019-06-06 04:00:00,2019,6,6,4,0,Solar3
60,0.0,2019-06-06 05:00:00,2019,6,6,5,0,Solar3
64,0.0,2019-06-06 06:00:00,2019,6,6,6,0,Solar3
68,0.0,2019-06-06 07:00:00,2019,6,6,7,0,Solar3
72,0.0,2019-06-06 08:00:00,2019,6,6,8,0,Solar3
76,0.0,2019-06-06 09:00:00,2019,6,6,9,0,Solar3
80,0.0,2019-06-06 10:00:00,2019,6,6,10,0,Solar3
84,0.0,2019-06-06 11:00:00,2019,6,6,11,0,Solar3
88,0.0,2019-06-06 12:00:00,2019,6,6,12,0,Solar3
92,0.0,2019-06-06 13:00:00,2019,6,6,13,0,Solar3
96,0.0,2019-06-06 14:00:00,2019,6,6,14,0,Solar3
100,0.0,2019-06-06 15:00:00,2019,6,6,15,0,Solar3
104,0.0,2019-06-06 16:00:00,2019,6,6,16,0,Solar3
108,0.0,2019-06-06 17:00:00,2019,6,6,17,0,Solar3
112,0.0,2019-06-06 18:00:00,2019,6,6,18,0,Solar3
116,0.0,2019-06-06 19:00:00,2019,6,6,19,0,Solar3
120,0.0,2019-06-06 20:00:00,2019,6,6,20,0,Solar3
124,0.0,2019-06-06 21:00:00,2019,6,6,21,0,Solar3
128,0.0,2019-06-06 22:00:00,2019,6,6,22,0,Solar3
132,0.0,2019-06-06 23:00:00,2019,6,6,23,0,Solar3
136,0.0,2019-06-07 00:00:00,2019,6,7,0,0,Solar3
140,0.0,2019-06-07 01:00:00,2019,6,7,1,0,Solar3
144,0.0,2019-06-07 02:00:00,2019,6,7,2,0,Solar3
148,0.0,2019-06-07 03:00:00,2019,6,7,3,0,Solar3
152,0.0,2019-06-07 04:00:00,2019,6,7,4,0,Solar3
156,0.0,2019-06-07 05:00:00,2019,6,7,5,0,Solar3
160,0.0,2019-06-07 06:00:00,2019,6,7,6,0,Solar3
164,0.0,2019-06-07 07:00:00,2019,6,7,7,0,Solar3
168,0.0,2019-06-07 08:00:00,2019,6,7,8,0,Solar3
172,0.0,2019-06-07 09:00:00,2019,6,7,9,0,Solar3
176,0.0,2019-06-07 10:00:00,2019,6,7,10,0,Solar3
180,0.0,2019-06-07 11:00:00,2019,6,7,11,0,Solar3
184,0.0,2019-06-07 12:00:00,2019,6,7,12,0,Solar3
188,0.0,2019-06-07 13:00:00,2019,6,7,13,0,Solar3
192,0.0,2019-06-07 14:00:00,2019,6,7,14,0,Solar3
196,0.0,2019-06-07 15:00:00,2019,6,7,15,0,Solar3
200,0.0,2019-06-07 16:00:00,2019,6,7,16,0,Solar3
204,0.0,2019-06-07 17:00:00,2019,6,7,17,0,Solar3
208,0.0,2019-06-07 18:00:00,2019,6,7,18,0,Solar3
212,0.0,2019-06-07 19:00:00,2019,6,7,19,0,Solar3
216,0.0,2019-06-07 20:00:00,2019,6,7,20,0,Solar3
220,0.0,2019-06-07 21:00:00,2019,6,7,21,0,Solar3
224,0.0,2019-06-07 22:00:00,2019,6,7,22,0,Solar3
228,0.0,2019-06-07 23:00:00,2019,6,7,23,0,Solar3
232,0.0,2019-06-08 00:00:00,2019,6,8,0,0,Solar3
236,0.0,2019-06-08 01:00:00,2019,6,8,1,0,Solar3
240,0.0,2019-06-08 02:00:00,2019,6,8,2,0,Solar3
244,0.0,2019-06-08 03:00:00,2019,6,8,3,0,Solar3
248,0.0,2019-06-08 04:00:00,2019,6,8,4,0,Solar3
252,0.0,2019-06-08 05:00:00,2019,6,8,5,0,Solar3
256,0.0,2019-06-08 06:00:00,2019,6,8,6,0,Solar3
260,0.0,2019-06-08 07:00:00,2019,6,8,7,0,Solar3
