,series_name,Year,Month,Day_of_Month,Week,Day,Hour,series_value,datetime
0,Solar0,2020,Apr,27,17,1,0,0,27/04/2020 0:00
1,Solar0,2020,Apr,27,17,1,1,0,27/04/2020 1:00
2,Solar0,2020,Apr,27,17,1,2,0,27/04/2020 2:00
3,Solar0,2020,Apr,27,17,1,3,0,27/04/2020 3:00
4,Solar0,2020,Apr,27,17,1,4,0,27/04/2020 4:00
5,Solar0,2020,Apr,27,17,1,5,0,27/04/2020 5:00
6,Solar0,2020,Apr,27,17,1,6,0,27/04/2020 6:00
7,Solar0,2020,Apr,27,17,1,7,0,27/04/2020 7:00
8,Solar0,2020,Apr,27,17,1,8,0,27/04/2020 8:00
9,Solar0,2020,Apr,27,17,1,9,0,27/04/2020 9:00
10,Solar0,2020,Apr,27,17,1,10,0,27/04/2020 10:00
11,Solar0,2020,Apr,27,17,1,11,0,27/04/2020 11:00
12,Solar0,2020,Apr,27,17,1,12,0,27/04/2020 12:00
13,Solar0,2020,Apr,27,17,1,13,0,27/04/2020 13:00
14,Solar0,2020,Apr,27,17,1,14,0,27/04/2020 14:00
15,Solar0,2020,Apr,27,17,1,15,0,27/04/2020 15:00
16,Solar0,2020,Apr,27,17,1,16,0,27/04/2020 16:00
17,Solar0,2020,Apr,27,17,1,17,0,27/04/2020 17:00
18,Solar0,2020,Apr,27,17,1,18,0,27/04/2020 18:00
19,Solar0,2020,Apr,27,17,1,19,0,27/04/2020 19:00
20,Solar0,2020,Apr,27,17,1,20,0,27/04/2020 20:00
21,Solar0,2020,Apr,27,17,1,21,0,27/04/2020 21:00
22,Solar0,2020,Apr,27,17,1,22,0,27/04/2020 22:00
23,Solar0,2020,Apr,27,17,1,23,0,27/04/2020 23:00
24,Solar0,2020,Apr,28,17,2,0,0,28/04/2020 0:00
25,Solar0,2020,Apr,28,17,2,1,0,28/04/2020 1:00
26,Solar0,2020,Apr,28,17,2,2,0,28/04/2020 2:00
27,Solar0,2020,Apr,28,17,2,3,0,28/04/2020 3:00
28,Solar0,2020,Apr,28,17,2,4,0,28/04/2020 4:00
29,Solar0,2020,Apr,28,17,2,5,0,28/04/2020 5:00
30,Solar0,2020,Apr,28,17,2,6,0,28/04/2020 6:00
31,Solar0,2020,Apr,28,17,2,7,0,28/04/2020 7:00
32,Solar0,2020,Apr,28,17,2,8,0,28/04/2020 8:00
33,Solar0,2020,Apr,28,17,2,9,0,28/04/2020 9:00
34,Solar0,2020,Apr,28,17,2,10,0,28/04/2020 10:00
35,Solar0,2020,Apr,28,17,2,11,0,28/04/2020 11:00
36,Solar0,2020,Apr,28,17,2,12,0,28/04/2020 12:00
37,Solar0,2020,Apr,28,17,2,13,0,28/04/2020 13:00
38,Solar0,2020,Apr,28,17,2,14,0,28/04/2020 14:00
39,Solar0,2020,Apr,28,17,2,15,0,28/04/2020 15:00
40,Solar0,2020,Apr,28,17,2,16,0,28/04/2020 16:00
41,Solar0,2020,Apr,28,17,2,17,0,28/04/2020 17:00
42,Solar0,2020,Apr,28,17,2,18,0,28/04/2020 18:00
43,Solar0,2020,Apr,28,17,2,19,0,28/04/2020 19:00
44,Solar0,2020,Apr,28,17,2,20,0,28/04/2020 20:00
45,Solar0,2020,Apr,28,17,2,21,0,28/04/2020 21:00
46,Solar0,2020,Apr,28,17,2,22,0,28/04/2020 22:00
47,Solar0,2020,Apr,28,17,2,23,0,28/04/2020 23:00
48,Solar0,2020,Apr,26,17,7,0,0,26/04/2020 0:00
49,Solar0,2020,Apr,26,17,7,1,0,26/04/2020 1:00
50,Solar0,2020,Apr,26,17,7,2,0,26/04/2020 2:00
51,Solar0,2020,Apr,26,17,7,3,0,26/04/2020 3:00
52,Solar0,2020,Apr,26,17,7,4,0,26/04/2020 4:00
53,Solar0,2020,Apr,26,17,7,5,0,26/04/2020 5:00
54,Solar0,2020,Apr,26,17,7,6,0,26/04/2020 6:00
55,Solar0,2020,Apr,26,17,7,7,0,26/04/2020 7:00
56,Solar0,2020,Apr,26,17,7,8,0,26/04/2020 8:00
57,Solar0,2020,Apr,26,17,7,9,0,26/04/2020 9:00
58,Solar0,2020,Apr,26,17,7,10,0,26/04/2020 10:00
59,Solar0,2020,Apr,26,17,7,11,0.01,26/04/2020 11:00
60,Solar0,2020,Apr,26,17,7,12,0.0025,26/04/2020 12:00
61,Solar0,2020,Apr,26,17,7,13,0,26/04/2020 13:00
62,Solar0,2020,Apr,26,17,7,14,0,26/04/2020 14:00
63,Solar0,2020,Apr,26,17,7,15,0,26/04/2020 15:00
64,Solar0,2020,Apr,26,17,7,16,0,26/04/2020 16:00
65,Solar0,2020,Apr,26,17,7,17,0,26/04/2020 17:00
66,Solar0,2020,Apr,26,17,7,18,0,26/04/2020 18:00
67,Solar0,2020,Apr,26,17,7,19,0,26/04/2020 19:00
68,Solar0,2020,Apr,26,17,7,20,0,26/04/2020 20:00
69,Solar0,2020,Apr,26,17,7,21,0,26/04/2020 21:00
70,Solar0,2020,Apr,26,17,7,22,0,26/04/2020 22:00
71,Solar0,2020,Apr,26,17,7,23,0,26/04/2020 23:00
72,Solar0,2020,May,4,18,1,0,0,4/05/2020 0:00
73,Solar0,2020,May,4,18,1,1,0,4/05/2020 1:00
74,Solar0,2020,May,4,18,1,2,0,4/05/2020 2:00
75,Solar0,2020,May,4,18,1,3,0,4/05/2020 3:00
76,Solar0,2020,May,4,18,1,4,0,4/05/2020 4:00
77,Solar0,2020,May,4,18,1,5,0,4/05/2020 5:00
78,Solar0,2020,May,4,18,1,6,0,4/05/2020 6:00
79,Solar0,2020,May,4,18,1,7,0,4/05/2020 7:00
80,Solar0,2020,May,4,18,1,8,0,4/05/2020 8:00
81,Solar0,2020,May,4,18,1,9,0,4/05/2020 9:00
82,Solar0,2020,May,4,18,1,10,0,4/05/2020 10:00
83,Solar0,2020,May,4,18,1,11,0,4/05/2020 11:00
84,Solar0,2020,May,4,18,1,12,0,4/05/2020 12:00
85,Solar0,2020,May,4,18,1,13,0,4/05/2020 13:00
86,Solar0,2020,May,4,18,1,14,0,4/05/2020 14:00
87,Solar0,2020,May,4,18,1,15,0,4/05/2020 15:00
88,Solar0,2020,May,4,18,1,16,0,4/05/2020 16:00
89,Solar0,2020,May,4,18,1,17,0,4/05/2020 17:00
90,Solar0,2020,May,4,18,1,18,0,4/05/2020 18:00
91,Solar0,2020,May,4,18,1,19,0,4/05/2020 19:00
92,Solar0,2020,May,4,18,1,20,0,4/05/2020 20:00
93,Solar0,2020,May,4,18,1,21,0,4/05/2020 21:00
94,Solar0,2020,May,4,18,1,22,0,4/05/2020 22:00
95,Solar0,2020,May,4,18,1,23,0,4/05/2020 23:00
96,Solar0,2020,May,5,18,2,0,0,5/05/2020 0:00
97,Solar0,2020,May,5,18,2,1,0,5/05/2020 1:00
98,Solar0,2020,May,5,18,2,2,0,5/05/2020 2:00
99,Solar0,2020,May,5,18,2,3,0,5/05/2020 3:00
100,Solar0,2020,May,5,18,2,4,0,5/05/2020 4:00
101,Solar0,2020,May,5,18,2,5,0,5/05/2020 5:00
102,Solar0,2020,May,5,18,2,6,0,5/05/2020 6:00
103,Solar0,2020,May,5,18,2,7,0,5/05/2020 7:00
104,Solar0,2020,May,5,18,2,8,0,5/05/2020 8:00
105,Solar0,2020,May,5,18,2,9,0,5/05/2020 9:00
106,Solar0,2020,May,5,18,2,10,0,5/05/2020 10:00
107,Solar0,2020,May,5,18,2,11,0,5/05/2020 11:00
108,Solar0,2020,May,5,18,2,12,0,5/05/2020 12:00
109,Solar0,2020,May,5,18,2,13,0,5/05/2020 13:00
110,Solar0,2020,May,5,18,2,14,0,5/05/2020 14:00
111,Solar0,2020,May,5,18,2,15,0,5/05/2020 15:00
112,Solar0,2020,May,5,18,2,16,0,5/05/2020 16:00
113,Solar0,2020,May,5,18,2,17,0,5/05/2020 17:00
114,Solar0,2020,May,5,18,2,18,0,5/05/2020 18:00
115,Solar0,2020,May,5,18,2,19,0,5/05/2020 19:00
116,Solar0,2020,May,5,18,2,20,0,5/05/2020 20:00
117,Solar0,2020,May,5,18,2,21,0,5/05/2020 21:00
118,Solar0,2020,May,5,18,2,22,0,5/05/2020 22:00
119,Solar0,2020,May,5,18,2,23,0,5/05/2020 23:00
120,Solar0,2020,Apr,29,18,3,0,0,29/04/2020 0:00
121,Solar0,2020,Apr,29,18,3,1,0,29/04/2020 1:00
122,Solar0,2020,Apr,29,18,3,2,0,29/04/2020 2:00
123,Solar0,2020,Apr,29,18,3,3,0,29/04/2020 3:00
124,Solar0,2020,Apr,29,18,3,4,0,29/04/2020 4:00
125,Solar0,2020,Apr,29,18,3,5,0,29/04/2020 5:00
126,Solar0,2020,Apr,29,18,3,6,0,29/04/2020 6:00
127,Solar0,2020,Apr,29,18,3,7,0,29/04/2020 7:00
128,Solar0,2020,Apr,29,18,3,8,0,29/04/2020 8:00
129,Solar0,2020,Apr,29,18,3,9,0,29/04/2020 9:00
130,Solar0,2020,Apr,29,18,3,10,0,29/04/2020 10:00
131,Solar0,2020,Apr,29,18,3,11,0,29/04/2020 11:00
132,Solar0,2020,Apr,29,18,3,12,0,29/04/2020 12:00
133,Solar0,2020,Apr,29,18,3,13,0,29/04/2020 13:00
134,Solar0,2020,Apr,29,18,3,14,0,29/04/2020 14:00
135,Solar0,2020,Apr,29,18,3,15,0,29/04/2020 15:00
136,Solar0,2020,Apr,29,18,3,16,0,29/04/2020 16:00
137,Solar0,2020,Apr,29,18,3,17,0,29/04/2020 17:00
138,Solar0,2020,Apr,29,18,3,18,0,29/04/2020 18:00
139,Solar0,2020,Apr,29,18,3,19,0,29/04/2020 19:00
140,Solar0,2020,Apr,29,18,3,20,0,29/04/2020 20:00
141,Solar0,2020,Apr,29,18,3,21,0,29/04/2020 21:00
142,Solar0,2020,Apr,29,18,3,22,0,29/04/2020 22:00
143,Solar0,2020,Apr,29,18,3,23,0,29/04/2020 23:00
144,Solar0,2020,Apr,30,18,4,0,0,30/04/2020 0:00
145,Solar0,2020,Apr,30,18,4,1,0,30/04/2020 1:00
146,Solar0,2020,Apr,30,18,4,2,0,30/04/2020 2:00
147,Solar0,2020,Apr,30,18,4,3,0,30/04/2020 3:00
148,Solar0,2020,Apr,30,18,4,4,0,30/04/2020 4:00
149,Solar0,2020,Apr,30,18,4,5,0,30/04/2020 5:00
150,Solar0,2020,Apr,30,18,4,6,0,30/04/2020 6:00
151,Solar0,2020,Apr,30,18,4,7,0,30/04/2020 7:00
152,Solar0,2020,Apr,30,18,4,8,0,30/04/2020 8:00
153,Solar0,2020,Apr,30,18,4,9,0,30/04/2020 9:00
154,Solar0,2020,Apr,30,18,4,10,0,30/04/2020 10:00
155,Solar0,2020,Apr,30,18,4,11,0,30/04/2020 11:00
156,Solar0,2020,Apr,30,18,4,12,0,30/04/2020 12:00
157,Solar0,2020,Apr,30,18,4,13,0,30/04/2020 13:00
158,Solar0,2020,Apr,30,18,4,14,0,30/04/2020 14:00
159,Solar0,2020,Apr,30,18,4,15,0,30/04/2020 15:00
160,Solar0,2020,Apr,30,18,4,16,0,30/04/2020 16:00
161,Solar0,2020,Apr,30,18,4,17,0,30/04/2020 17:00
162,Solar0,2020,Apr,30,18,4,18,0,30/04/2020 18:00
163,Solar0,2020,Apr,30,18,4,19,0,30/04/2020 19:00
164,Solar0,2020,Apr,30,18,4,20,0,30/04/2020 20:00
165,Solar0,2020,Apr,30,18,4,21,0,30/04/2020 21:00
166,Solar0,2020,Apr,30,18,4,22,0,30/04/2020 22:00
167,Solar0,2020,Apr,30,18,4,23,0,30/04/2020 23:00
168,Solar0,2020,May,1,18,5,0,0,1/05/2020 0:00
