,series_value,datetime,Year,Month,Day_of_Month,Hour,minutes,series_name
0,0.0,2019-06-05 14:00:00,2019,6,5,14,0,Solar2
4,0.0,2019-06-05 15:00:00,2019,6,5,15,0,Solar2
8,0.0,2019-06-05 16:00:00,2019,6,5,16,0,Solar2
12,0.0,2019-06-05 17:00:00,2019,6,5,17,0,Solar2
16,0.0,2019-06-05 18:00:00,2019,6,5,18,0,Solar2
20,0.0,2019-06-05 19:00:00,2019,6,5,19,0,Solar2
24,0.0,2019-06-05 20:00:00,2019,6,5,20,0,Solar2
28,0.0,2019-06-05 21:00:00,2019,6,5,21,0,Solar2
32,0.0,2019-06-05 22:00:00,2019,6,5,22,0,Solar2
36,0.0,2019-06-05 23:00:00,2019,6,5,23,0,Solar2
40,0.0,2019-06-06 00:00:00,2019,6,6,0,0,Solar2
44,0.0,2019-06-06 01:00:00,2019,6,6,1,0,Solar2
48,0.0,2019-06-06 02:00:00,2019,6,6,2,0,Solar2
52,0.41,2019-06-06 03:00:00,2019,6,6,3,0,Solar2
56,0.0,2019-06-06 04:00:00,2019,6,6,4,0,Solar2
60,0.0,2019-06-06 05:00:00,2019,6,6,5,0,Solar2
64,0.0,2019-06-06 06:00:00,2019,6,6,6,0,Solar2
68,0.0,2019-06-06 07:00:00,2019,6,6,7,0,Solar2
72,0.0,2019-06-06 08:00:00,2019,6,6,8,0,Solar2
76,0.0,2019-06-06 09:00:00,2019,6,6,9,0,Solar2
80,0.0,2019-06-06 10:00:00,2019,6,6,10,0,Solar2
84,0.0,2019-06-06 11:00:00,2019,6,6,11,0,Solar2
88,0.0,2019-06-06 12:00:00,2019,6,6,12,0,Solar2
92,0.0,2019-06-06 13:00:00,2019,6,6,13,0,Solar2
96,0.0,2019-06-06 14:00:00,2019,6,6,14,0,Solar2
100,0.0,2019-06-06 15:00:00,2019,6,6,15,0,Solar2
104,0.0,2019-06-06 16:00:00,2019,6,6,16,0,Solar2
108,0.0,2019-06-06 17:00:00,2019,6,6,17,0,Solar2
112,0.0,2019-06-06 18:00:00,2019,6,6,18,0,Solar2
116,0.0,2019-06-06 19:00:00,2019,6,6,19,0,Solar2
120,0.0,2019-06-06 20:00:00,2019,6,6,20,0,Solar2
124,0.0,2019-06-06 21:00:00,2019,6,6,21,0,Solar2
128,0.0,2019-06-06 22:00:00,2019,6,6,22,0,Solar2
132,0.0,2019-06-06 23:00:00,2019,6,6,23,0,Solar2
136,0.0,2019-06-07 00:00:00,2019,6,7,0,0,Solar2
140,0.0,2019-06-07 01:00:00,2019,6,7,1,0,Solar2
144,0.0,2019-06-07 02:00:00,2019,6,7,2,0,Solar2
148,0.0,2019-06-07 03:00:00,2019,6,7,3,0,Solar2
152,0.0,2019-06-07 04:00:00,2019,6,7,4,0,Solar2
156,0.0,2019-06-07 05:00:00,2019,6,7,5,0,Solar2
160,0.0,2019-06-07 06:00:00,2019,6,7,6,0,Solar2
164,0.0,2019-06-07 07:00:00,2019,6,7,7,0,Solar2
168,0.0,2019-06-07 08:00:00,2019,6,7,8,0,Solar2
172,0.0,2019-06-07 09:00:00,2019,6,7,9,0,Solar2
176,0.0,2019-06-07 10:00:00,2019,6,7,10,0,Solar2
180,0.0,2019-06-07 11:00:00,2019,6,7,11,0,Solar2
184,0.0,2019-06-07 12:00:00,2019,6,7,12,0,Solar2
188,0.0,2019-06-07 13:00:00,2019,6,7,13,0,Solar2
192,0.0,2019-06-07 14:00:00,2019,6,7,14,0,Solar2
196,0.0,2019-06-07 15:00:00,2019,6,7,15,0,Solar2
200,0.0,2019-06-07 16:00:00,2019,6,7,16,0,Solar2
204,0.0,2019-06-07 17:00:00,2019,6,7,17,0,Solar2
208,0.0,2019-06-07 18:00:00,2019,6,7,18,0,Solar2
212,0.0,2019-06-07 19:00:00,2019,6,7,19,0,Solar2
216,0.0,2019-06-07 20:00:00,2019,6,7,20,0,Solar2
220,0.0,2019-06-07 21:00:00,2019,6,7,21,0,Solar2
224,0.0,2019-06-07 22:00:00,2019,6,7,22,0,Solar2
228,0.0,2019-06-07 23:00:00,2019,6,7,23,0,Solar2
232,0.0,2019-06-08 00:00:00,2019,6,8,0,0,Solar2
236,0.0,2019-06-08 01:00:00,2019,6,8,1,0,Solar2
240,0.0,2019-06-08 02:00:00,2019,6,8,2,0,Solar2
244,0.0,2019-06-08 03:00:00,2019,6,8,3,0,Solar2
248,0.0,2019-06-08 04:00:00,2019,6,8,4,0,Solar2
252,0.0,2019-06-08 05:00:00,2019,6,8,5,0,Solar2
256,0.0,2019-06-08 06:00:00,2019,6,8,6,0,Solar2
260,0.0,2019-06-08 07:00:00,2019,6,8,7,0,Solar2
264,0.0,2019-06-08 08:00:00,2019,6,8,8,0,Solar2
268,0.0,2019-06-08 09:00:00,2019,6,8,9,0,Solar2
272,0.0,2019-06-08 10:00:00,2019,6,8,10,0,Solar2
276,0.0,2019-06-08 11:00:00,2019,6,8,11,0,Solar2
280,0.0,2019-06-08 12:00:00,2019,6,8,12,0,Solar2
284,0.0,2019-06-08 13:00:00,2019,6,8,13,0,Solar2
288,0.0,2019-06-08 14:00:00,2019,6,8,14,0,Solar2
292,0.0,2019-06-08 15:00:00,2019,6,8,15,0,Solar2
296,0.0,2019-06-08 16:00:00,2019,6,8,16,0,Solar2
300,0.0,2019-06-08 17:00:00,2019,6,8,17,0,Solar2
304,0.0,2019-06-08 18:00:00,2019,6,8,18,0,Solar2
308,0.0,2019-06-08 19:00:00,2019,6,8,19,0,Solar2
312,0.0,2019-06-08 20:00:00,2019,6,8,20,0,Solar2
316,0.0,2019-06-08 21:00:00,2019,6,8,21,0,Solar2
320,0.0,2019-06-08 22:00:00,2019,6,8,22,0,Solar2
324,0.0,2019-06-08 23:00:00,2019,6,8,23,0,Solar2
328,0.0,2019-06-09 00:00:00,2019,6,9,0,0,Solar2
332,0.0,2019-06-09 01:00:00,2019,6,9,1,0,Solar2
336,0.0,2019-06-09 02:00:00,2019,6,9,2,0,Solar2
340,0.0,2019-06-09 03:00:00,2019,6,9,3,0,Solar2
344,0.0,2019-06-09 04:00:00,2019,6,9,4,0,Solar2
348,0.0,2019-06-09 05:00:00,2019,6,9,5,0,Solar2
352,0.0,2019-06-09 06:00:00,2019,6,9,6,0,Solar2
356,0.0,2019-06-09 07:00:00,2019,6,9,7,0,Solar2
360,0.0,2019-06-09 08:00:00,2019,6,9,8,0,Solar2
364,0.0,2019-06-09 09:00:00,2019,6,9,9,0,Solar2
368,0.0,2019-06-09 10:00:00,2019,6,9,10,0,Solar2
372,0.0,2019-06-09 11:00:00,2019,6,9,11,0,Solar2
376,0.0,2019-06-09 12:00:00,2019,6,9,12,0,Solar2
380,0.0,2019-06-09 13:00:00,2019,6,9,13,0,Solar2
384,0.0,2019-06-09 14:00:00,2019,6,9,14,0,Solar2
388,0.0,2019-06-09 15:00:00,2019,6,9,15,0,Solar2
392,0.0,2019-06-09 16:00:00,2019,6,9,16,0,Solar2
396,0.0,2019-06-09 17:00:00,2019,6,9,17,0,Solar2
