ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2019-01-08 00:00:00,29.97334172245408,23.413753499337517,31.120613810493573,29.97334172245408,29.97334172245408,-2.765594229185787,-2.765594229185787,-2.765594229185787,-2.9632314360163523,-2.9632314360163523,-2.9632314360163523,0.19763720683056565,0.19763720683056565,0.19763720683056565,0.0,0.0,0.0,27.207747493268293
2019-01-08 01:00:00,29.974480521991044,23.327571007961293,30.879940310039125,29.974480521991044,29.974480521991044,-2.7438045817514682,-2.7438045817514682,-2.7438045817514682,-2.9573849515019464,-2.9573849515019464,-2.9573849515019464,0.21358036975047787,0.21358036975047787,0.21358036975047787,0.0,0.0,0.0,27.230675940239575
2019-01-08 02:00:00,29.975619321528008,23.56264481264,31.01781601636821,29.975619321528008,29.975619321528008,-2.736929022237019,-2.736929022237019,-2.736929022237019,-2.965342521584858,-2.965342521584858,-2.965342521584858,0.2284134993478391,0.2284134993478391,0.2284134993478391,0.0,0.0,0.0,27.23869029929099
2019-01-08 03:00:00,29.976758121064968,23.54581058624379,31.375416036223,29.976758121064968,29.976758121064968,-2.635330365772097,-2.635330365772097,-2.635330365772097,-2.877564886559876,-2.877564886559876,-2.877564886559876,0.24223452078777907,0.24223452078777907,0.24223452078777907,0.0,0.0,0.0,27.34142775529287
2019-01-08 04:00:00,29.977896920601932,23.768189742469094,31.194076820212388,29.977896920601932,29.977896920601932,-2.357271663256431,-2.357271663256431,-2.357271663256431,-2.6124111466180233,-2.6124111466180233,-2.6124111466180233,0.2551394833615932,0.2551394833615932,0.2551394833615932,0.0,0.0,0.0,27.620625257345502
2019-01-08 05:00:00,29.979035720138896,24.434692167410564,31.7543746294894,29.979035720138896,29.979035720138896,-1.8459988881912364,-1.8459988881912364,-1.8459988881912364,-2.1132210216940335,-2.1132210216940335,-2.1132210216940335,0.2672221335027971,0.2672221335027971,0.2672221335027971,0.0,0.0,0.0,28.13303683194766
2019-01-08 06:00:00,29.98017451967586,25.08069068816536,32.952577709117755,29.98017451967586,29.98017451967586,-1.0474436073003814,-1.0474436073003814,-1.0474436073003814,-1.326017204034578,-1.326017204034578,-1.326017204034578,0.27857359673419635,0.27857359673419635,0.27857359673419635,0.0,0.0,0.0,28.93273091237548
2019-01-08 07:00:00,29.981313319212823,26.279950893686383,34.0990934955045,29.981313319212823,29.981313319212823,0.046743525557264645,0.046743525557264645,0.046743525557264645,-0.24253863895873048,-0.24253863895873048,-0.24253863895873048,0.28928216451599514,0.28928216451599514,0.28928216451599514,0.0,0.0,0.0,30.028056844770088
2019-01-08 08:00:00,29.982452118749784,27.31948432670295,35.173670534392556,29.982452118749784,29.982452118749784,1.3098163062237533,1.3098163062237533,1.3098163062237533,1.0103831259463822,1.0103831259463822,1.0103831259463822,0.299433180277371,0.299433180277371,0.299433180277371,0.0,0.0,0.0,31.292268424973535
2019-01-08 09:00:00,29.983590918286747,28.472200829926738,36.18181370315196,29.983590918286747,29.983590918286747,2.461807777746751,2.461807777746751,2.461807777746751,2.1526987604677923,2.1526987604677923,2.1526987604677923,0.3091090172789586,0.3091090172789586,0.3091090172789586,0.0,0.0,0.0,32.4453986960335
